98 37
100 34
93 48
21 17
93 43
72 38
99 39
42 26
100 33
45 32
99 40
69 34
85 38
60 32
100 46
87 46
86 34
69 48
100 42
56 31
87 42
99 38
70 34
45 29
99 39
91 38
98 45
100 40
31 25
97 37
99 51
1 0
98 37
8 6
19 15
94 44
99 38
50 32
42 30
51 38
56 41
100 35
81 35
93 35
100 52
1 0
46 26
27 20
77 43
91 35
22 17
84 37
66 40
85 34
89 39
85 33
90 37
89 48
21 17
54 31
93 38
87 33
100 39
14 12
79 41
51 34
25 19
77 34
32 24
66 46
77 37
48 30
89 48
99 52
87 39
81 35
63 35
100 38
9 8
26 21
56 40
92 47
71 37
85 34
100 44
97 53
87 42
90 32
100 34
83 34
66 34
97 42
100 32
87 42
97 41
88 52
87 39
86 39
78 41
63 35
node_expanded_min: 1
max_node_expanded_min: 0
node_expanded_max: 100
max_node_expanded_max: 53
node_expanded_medium: 85
max_node_expanded_medium: 37
node_expanded_average: 73.22
max_node_expanded_average: 35.08
